position,stat,bin_low,bin_high,threshold_observations,mean_probability,observed_rate
QB,completions,0.4,0.5,522,0.4517190463461514,0.3793103448275862
QB,completions,0.5,0.6,241,0.5482761472822265,0.5228215767634855
QB,completions,0.6,0.7,487,0.655695934837332,0.5667351129363449
QB,completions,0.7,0.8,493,0.739721550207894,0.6673427991886409
QB,completions,0.8,0.9,916,0.8570231687678626,0.851528384279476
QB,completions,0.9,1.0,790,0.9498969679128642,0.9405063291139241
QB,passing_interceptions,0.0,0.1,3579,0.01664332081104338,0.011455713886560491
QB,passing_interceptions,0.1,0.2,1193,0.15277797116624384,0.13327745180217937
QB,passing_interceptions,0.4,0.5,946,0.44455409382396943,0.41331923890063427
QB,passing_interceptions,0.5,0.6,247,0.5170417098201675,0.4777327935222672
QB,passing_tds,0.0,0.1,2846,0.02880536417610075,0.04005621925509487
QB,passing_tds,0.1,0.2,350,0.15110583768391075,0.16
QB,passing_tds,0.2,0.3,694,0.22776623550700353,0.24063400576368876
QB,passing_tds,0.3,0.4,340,0.3513093609536838,0.3941176470588235
QB,passing_tds,0.4,0.5,226,0.451783141739923,0.4424778761061947
QB,passing_tds,0.5,0.6,498,0.5186793686373401,0.4759036144578313
QB,passing_tds,0.6,0.7,242,0.666058043436479,0.6694214876033058
QB,passing_tds,0.7,0.8,384,0.7505450581395348,0.7317708333333334
QB,passing_tds,0.8,0.9,380,0.8425074313691204,0.7868421052631579
QB,passing_yards,0.0,0.1,5791,0.03308576545917568,0.026247625625971334
QB,passing_yards,0.1,0.2,1575,0.14276538522385698,0.11746031746031746
QB,passing_yards,0.2,0.3,1182,0.24367168659460006,0.20642978003384094
QB,passing_yards,0.3,0.4,968,0.343033552071607,0.2892561983471074
QB,passing_yards,0.4,0.5,1017,0.44773893641973495,0.3972468043264503
QB,passing_yards,0.5,0.6,964,0.5466115713872155,0.49066390041493774
QB,passing_yards,0.6,0.7,1121,0.6452695593931617,0.5575379125780553
QB,passing_yards,0.7,0.8,1144,0.7486089491903445,0.7106643356643356
QB,passing_yards,0.8,0.9,1699,0.8555775431707923,0.8346085932901707
QB,passing_yards,0.9,1.0,1241,0.9376520917382563,0.943593875906527
QB,rushing_tds,0.0,0.1,5489,0.012709502363228419,0.0187648023319366
QB,rushing_tds,0.1,0.2,288,0.16986203396087116,0.1527777777777778
QB,rushing_tds,0.2,0.3,178,0.2433088207846504,0.29213483146067415
QB,rushing_yards,0.0,0.1,11363,0.012994760929203398,0.011880665317257767
QB,rushing_yards,0.1,0.2,1027,0.1476820206581761,0.1733203505355404
QB,rushing_yards,0.2,0.3,700,0.24231134314190791,0.29714285714285715
QB,rushing_yards,0.3,0.4,350,0.34168960607498816,0.42
QB,rushing_yards,0.4,0.5,223,0.4567808351831712,0.547085201793722
QB,rushing_yards,0.5,0.6,279,0.5435346931971087,0.6021505376344086
QB,rushing_yards,0.6,0.7,235,0.6511415847882943,0.7659574468085106
QB,rushing_yards,0.7,0.8,139,0.7531848275532398,0.8201438848920863
RB,carries,0.0,0.1,10480,0.020428089574192895,0.02013358778625954
RB,carries,0.1,0.2,1646,0.14177125256839293,0.13669501822600244
RB,carries,0.2,0.3,1195,0.2506470759949401,0.23430962343096234
RB,carries,0.3,0.4,1102,0.34801418140379015,0.35753176043557167
RB,carries,0.4,0.5,858,0.44400560679630446,0.47202797202797203
RB,carries,0.5,0.6,1067,0.554112035171733,0.5613870665417057
RB,carries,0.6,0.7,700,0.6502990033222591,0.6885714285714286
RB,carries,0.7,0.8,845,0.7518940808744029,0.7881656804733728
RB,carries,0.8,0.9,1238,0.8505063895791626,0.8610662358642972
RB,carries,0.9,1.0,3685,0.969487957374108,0.9728629579375848
RB,receiving_tds,0.0,0.1,14104,0.010823253175744306,0.011344299489506523
RB,receiving_tds,0.1,0.2,161,0.10950042302057324,0.11180124223602485
RB,receiving_yards,0.0,0.1,28748,0.01432345777513571,0.012974815639348825
RB,receiving_yards,0.1,0.2,2101,0.13987722979565181,0.13707758210376011
RB,receiving_yards,0.2,0.3,998,0.23618333011538026,0.24048096192384769
RB,receiving_yards,0.3,0.4,838,0.3475685661954186,0.3424821002386635
RB,receiving_yards,0.4,0.5,521,0.45028089350278344,0.46833013435700577
RB,receiving_yards,0.5,0.6,553,0.5445471093942433,0.5858951175406871
RB,receiving_yards,0.6,0.7,244,0.6529736942432328,0.6065573770491803
RB,receiving_yards,0.7,0.8,161,0.7201976847361796,0.7701863354037267
RB,receptions,0.0,0.1,18454,0.016006397518189254,0.012734366533000975
RB,receptions,0.1,0.2,2535,0.1510068345488739,0.1341222879684418
RB,receptions,0.2,0.3,1804,0.2503775294472969,0.2361419068736142
RB,receptions,0.3,0.4,1209,0.3371818229282595,0.34739454094292804
RB,receptions,0.4,0.5,1209,0.44959728943224814,0.45492142266335817
RB,receptions,0.5,0.6,735,0.549485840847967,0.5360544217687074
RB,receptions,0.6,0.7,971,0.6423712923964403,0.6519052523171988
RB,receptions,0.7,0.8,677,0.7455232926188922,0.7754800590841949
RB,receptions,0.8,0.9,629,0.8356749362221318,0.8807631160572337
RB,receptions,0.9,1.0,307,0.9336035148852361,0.9218241042345277
RB,rushing_tds,0.0,0.1,11250,0.010376965669988926,0.0112
RB,rushing_tds,0.1,0.2,1859,0.12344632112073976,0.1242603550295858
RB,rushing_tds,0.2,0.3,539,0.22555304211687693,0.26159554730983303
RB,rushing_tds,0.3,0.4,319,0.3568720774013477,0.36990595611285265
RB,rushing_tds,0.4,0.5,273,0.4401871661007874,0.43956043956043955
RB,rushing_yards,0.0,0.1,20246,0.02024943690940305,0.022918107280450458
RB,rushing_yards,0.1,0.2,3598,0.14320617397262042,0.15341856586992775
RB,rushing_yards,0.2,0.3,2299,0.24279731618109276,0.25967812092214004
RB,rushing_yards,0.3,0.4,1518,0.3559697801356042,0.3590250329380764
RB,rushing_yards,0.4,0.5,1211,0.45709594497834083,0.4772914946325351
RB,rushing_yards,0.5,0.6,1601,0.5448847377365891,0.5827607745159276
RB,rushing_yards,0.6,0.7,1080,0.6518641565153193,0.675
RB,rushing_yards,0.7,0.8,664,0.7494045951246847,0.7740963855421686
RB,rushing_yards,0.8,0.9,1133,0.8593875079537757,0.8737864077669902
