position,stat,threshold,games,brier,frequency_brier,mean_probability,observed_rate,eligible_test_games,evaluated_games
QB,rushing_yards,10,1193,0.19578167236089175,0.251881941306898,0.45659898689197503,0.501257334450964,1193,1193
QB,rushing_yards,25,1193,0.16261264896137873,0.19887207088499306,0.22342819269659947,0.2715842414082146,1193,1193
QB,rushing_yards,40,1193,0.10532592251872527,0.11811621718459228,0.10549495534582963,0.1366303436714166,1193,1193
QB,rushing_yards,50,1193,0.06954818559898322,0.07547598364892202,0.056563341529910084,0.08214585079631181,1193,1193
QB,rushing_yards,60,1193,0.03722281597749694,0.039431855253522115,0.035137137176163284,0.04107292539815591,1193,1193
QB,rushing_yards,75,1193,0.011279472359824091,0.011850877691723513,0.019425329928458645,0.01173512154233026,1193,1193
QB,rushing_yards,90,1193,0.002590841342029008,0.0026314168430633974,0.009452982931998118,0.002514668901927913,1193,1193
QB,rushing_yards,100,1193,0.0017082004492436939,0.0017305197449476303,0.007183375894266945,0.0016764459346186086,1193,1193
QB,rushing_yards,125,1193,0.0008320913322105278,0.0008472086974116553,0.002655300994449906,0.0008382229673093043,1193,1193
QB,rushing_yards,150,1193,8.865544071523944e-06,4.817620311395562e-06,0.002421378305898472,0.0,1193,1193
QB,rushing_yards,175,1193,3.8140574416757067e-06,1.734343312102402e-06,0.0018198628210519283,0.0,1193,1193
QB,rushing_yards,200,1193,2.7593514420370645e-06,1.9270481245582245e-07,0.0016611295681063125,0.0,1193,1193
RB,carries,1,2852,0.08760973723961726,0.1385768548316888,0.8419480646559154,0.8345021037868162,2853,2852
RB,carries,3,2852,0.12275124274145444,0.21561788173429647,0.6773319882765724,0.6858345021037868,2853,2852
RB,carries,5,2852,0.126440151184285,0.24293410979568636,0.5664288742993201,0.5841514726507714,2853,2852
RB,carries,10,2852,0.12464178161500404,0.23443646178235464,0.3647414182738231,0.3751753155680224,2853,2852
RB,carries,15,2852,0.10798097241030921,0.15502223111518418,0.18994539007422664,0.19179523141654978,2853,2852
RB,carries,20,2852,0.060802603149704086,0.07118986801716917,0.07493488278902023,0.07713884992987377,2853,2852
RB,carries,25,2852,0.020994566082349293,0.021939170349168948,0.020470567952547144,0.02244039270687237,2853,2852
RB,carries,30,2852,0.0034850918317577994,0.003496825988684546,0.0056858158639038646,0.0035063113604488078,2853,2852
RB,receiving_tds,1,2853,0.05521188621592943,0.055730511103287146,0.05129356171099256,0.05923589204346302,2853,2853
RB,receiving_tds,2,2853,0.00279743203941783,0.002800286779077485,0.003407848356861635,0.0028040658955485456,2853,2853
RB,receiving_tds,3,2853,0.00035210310919310154,0.00035041982418717476,0.0016611295681063125,0.0003505082369435682,2853,2853
RB,receiving_tds,4,2853,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063125,0.0,2853,2853
RB,receiving_tds,5,2853,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063125,0.0,2853,2853
RB,receiving_yards,10,2847,0.1951089535199103,0.2376600980008359,0.38730341549710773,0.3860203723217422,2853,2847
RB,receiving_yards,25,2847,0.1267112006023609,0.1423040424224687,0.16669117226619615,0.17175974710221287,2853,2847
RB,receiving_yards,40,2847,0.06409521067812056,0.06803722021034724,0.07053703437902227,0.073410607657183,2853,2847
RB,receiving_yards,50,2847,0.041296233670013754,0.04261913799726048,0.040586524020738736,0.04460835967685283,2853,2847
RB,receiving_yards,60,2847,0.020879808827014647,0.021310372363175012,0.02437081873208028,0.021777309448542326,2853,2847
RB,receiving_yards,75,2847,0.009299061851136861,0.009398271532147446,0.012120352833955891,0.009483667017913594,2853,2847
RB,receiving_yards,90,2847,0.0031390573908928886,0.0031539967525041606,0.006055800417061966,0.003161222339304531,2853,2847
RB,receiving_yards,100,2847,0.0021008279073938935,0.0021030601859217614,0.00351071886592753,0.002107481559536354,2853,2847
RB,receiving_yards,125,2847,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063128,0.0,2853,2847
RB,receiving_yards,150,2847,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063128,0.0,2853,2847
RB,receiving_yards,175,2847,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063128,0.0,2853,2847
RB,receiving_yards,200,2847,2.7593514420370645e-06,3.1933357892214436e-08,0.0016611295681063128,0.0,2853,2847
RB,receptions,1,2853,0.1773079318948967,0.23481553910963582,0.6345136494428549,0.6281107606028742,2853,2853
RB,receptions,2,2853,0.1814534468705962,0.24142819149961106,0.4065971239692903,0.4020329477742727,2853,2853
RB,receptions,3,2853,0.14673079739863706,0.1833247443927823,0.24751412804380304,0.2400981423063442,2853,2853
RB,receptions,4,2853,0.09695640711791119,0.11568698759437314,0.13236110965551212,0.1331931300385559,2853,2853
RB,receptions,5,2853,0.06318124136367972,0.07181314711223823,0.07436538795206539,0.07781282860147214,2853,2853
RB,receptions,6,2853,0.033037958543712845,0.036512153843266774,0.040071475732835864,0.03785488958990536,2853,2853
